api_type,scenario,repetition,response_time_ms,response_size_bytes,status_code
rest,A,1,2065.520,1367,200
rest,A,2,2023.949,1367,200
rest,A,3,2056.239,1367,200
rest,A,4,2058.487,1367,200
rest,A,5,2056.368,1367,200
rest,A,6,2036.100,1367,200
rest,A,7,2055.983,1367,200
rest,A,8,2051.030,1367,200
rest,A,9,2050.859,1367,200
rest,A,10,2053.294,1367,200
rest,A,11,2052.497,1367,200
rest,A,12,2037.810,1367,200
rest,A,13,2040.833,1367,200
rest,A,14,2058.850,1367,200
rest,A,15,2046.311,1367,200
rest,A,16,2030.549,1367,200
rest,A,17,2042.013,1367,200
rest,A,18,2041.495,1367,200
rest,A,19,2029.132,1367,200
rest,A,20,2039.508,1367,200
rest,A,21,2052.836,1367,200
rest,A,22,2029.940,1367,200
rest,A,23,2057.703,1367,200
rest,A,24,2052.886,1367,200
rest,A,25,2047.931,1367,200
rest,A,26,2050.257,1367,200
rest,A,27,2041.048,1367,200
rest,A,28,2056.250,1367,200
rest,A,29,2056.318,1367,200
rest,A,30,2051.450,1367,200
graphql,A,1,2059.741,1804,200
graphql,A,2,2049.984,1804,200
graphql,A,3,2051.370,1804,200
graphql,A,4,2052.581,1804,200
graphql,A,5,2046.903,1804,200
graphql,A,6,2052.276,1804,200
graphql,A,7,2038.610,1804,200
graphql,A,8,2044.183,1804,200
graphql,A,9,2057.945,1804,200
graphql,A,10,2043.183,1804,200
graphql,A,11,2041.770,1804,200
graphql,A,12,2047.368,1804,200
graphql,A,13,2057.435,1804,200
graphql,A,14,2057.278,1804,200
graphql,A,15,2043.362,1804,200
graphql,A,16,2041.024,1804,200
graphql,A,17,2041.910,1804,200
graphql,A,18,2057.886,1804,200
graphql,A,19,2053.453,1804,200
graphql,A,20,2041.261,1804,200
graphql,A,21,2040.324,1804,200
graphql,A,22,2028.724,1804,200
graphql,A,23,2055.946,1804,200
graphql,A,24,2031.920,1804,200
graphql,A,25,2043.903,1804,200
graphql,A,26,2045.196,1804,200
graphql,A,27,2032.442,1804,200
graphql,A,28,2041.246,1804,200
graphql,A,29,2045.142,1804,200
graphql,A,30,2032.284,1804,200
rest,B,1,2042.575,548,200
rest,B,2,2045.189,548,200
rest,B,3,2042.955,548,200
rest,B,4,2031.545,548,200
rest,B,5,2057.632,548,200
rest,B,6,2041.656,548,200
rest,B,7,2063.149,548,200
rest,B,8,2030.213,548,200
rest,B,9,2056.635,548,200
rest,B,10,2046.212,548,200
rest,B,11,2048.669,548,200
rest,B,12,2055.364,548,200
rest,B,13,2037.815,548,200
rest,B,14,2021.729,548,200
rest,B,15,2041.921,548,200
rest,B,16,2046.176,548,200
rest,B,17,2039.138,548,200
rest,B,18,2045.684,548,200
rest,B,19,2051.150,548,200
rest,B,20,2043.456,548,200
rest,B,21,2039.828,548,200
rest,B,22,2047.887,548,200
rest,B,23,2044.079,548,200
rest,B,24,2055.923,548,200
rest,B,25,2042.517,548,200
rest,B,26,2048.166,548,200
rest,B,27,2044.161,548,200
rest,B,28,2044.708,548,200
rest,B,29,2028.681,548,200
rest,B,30,2040.208,548,200
graphql,B,1,2045.335,517,200
